Field Word,Type,Level,Page
a/an,art.,1,1
abandon,v.,4,1
abbreviate,v.,6,1
abbreviation,n.,6,1
abdomen,n.,4,1
abide,v.,5,1
ability,n.,2,1
able,adj.,1,1
abnormal,adj.,6,1
aboard,adv./prep.,3,1
abolish,v.,5,1
aboriginal,adj./n.,6,1
aborigine,n.,6,1
abortion,n.,5,1
abound,v.,6,1
about,prep./adv.,1,1
above,prep./adv./adj.,1,1
abroad,adv.,2,1
abrupt,adj.,5,1
absence,n.,2,1
absent,adj./v.,2,1
absentminded,adj.,6,1
absolute,adj.,4,1
absorb,v.,4,1
abstract,adj.,4,1
abstraction,n.,6,1
absurd,adj.,5,1
abundance,n.,6,1
abundant,adj.,5,1
abuse,v./n.,6,1
academic,adj.,4,1
academy,n.,5,1
accelerate,v.,6,1
acceleration,n.,6,1
accent,n.,4,1
accept,v.,2,1
acceptable,adj.,3,1
acceptance,n.,4,1
access,n./v.,4,1
accessible,adj.,6,1
accessory,n./adj.,6,1
accident,n.,3,1
accidental,adj.,4,1
accommodate,v.,6,1
accommodation,n.,6,1
accompany,v.,4,1
accomplish(ment),v./(n.),4,1
accord,v./n.,6,1
accordance,n.,6,1
according to,prep.,1,1
accordingly,adv.,6,1
account (1),n.,3,1
account (2),v.,3,1
accountable,adj.,6,1
accountant,n.,4,1
accounting,n.,6,1
accumulate,v.,6,1
accumulation,n.,6,1
accuracy,n.,4,1
accurate,adj.,3,1
accusation,n.,6,1
accuse,v.,4,1
accustom,v.,5,1
ace,n./adj.,5,1
ache,n./v.,3,1
achieve(ment),v./(n.),3,1
acid,n./adj.,4,1
acknowledge(ment),v./(n.),5,1
acne,n.,5,1
acquaint,v.,4,1
acquaintance,n.,4,1
acquire,v.,4,1
acquisition,n.,6,1
acre,n.,4,1
across,prep./adv.,1,1
act,n./v.,1,1
action,n.,1,1
active,adj.,2,1
activist,n.,6,1
activity,n.,3,1
actor/actress,n.,1,1
actual,adj.,3,1
acute,adj.,6,1
adapt,v.,4,1
adaptation,n.,6,1
add,v.,1,2
addict,v./n.,6,2
addiction,n.,6,2
addition,n.,2,2
additional,adj.,3,2
address,n./v.,1,2
adequate,adj.,4,2
adjective,n.,4,2
adjust(ment),v./(n.),4,2
administer/administrate,v.,6,2
administration,n.,6,2
administrative,adj.,6,2
administrator,n.,6,2
admirable,adj.,4,2
admiral,n.,5,2
admiration,n.,4,2
admire,v.,3,2
admission,n.,4,2
admit,v.,3,2
adolescence,n.,5,2
adolescent,adj./n.,5,2
adopt,v.,3,2
adore,v.,5,2
adult,n./adj.,1,2
adulthood,n.,5,2
advance,n./v.,2,2
advanced,adj.,3,2
advantage,n.,3,2
adventure,n.,3,2
adverb,n.,4,2
advertise(ment/ad),v./(n.),3,2
advertiser,n.,5,2
advice,n.,3,2
advise,v.,3,2
adviser/advisor,n.,3,2
advocate,n./v.,6,2
affair,n.,2,2
affect,v.,3,2
affection,n.,5,2
affectionate,adj.,6,2
affirm,v.,6,2
afford,v.,3,2
afraid,Adj.,1,2
after,prep./conj./adv.,1,2
afternoon,n.,1,2
afterward(s),adv.,3,2
again,adv.,1,2
against,prep.,1,2
age,n./v.,1,2
agency,n.,4,2
agenda,n.,5,2
agent,n.,4,2
aggression,n.,6,2
aggressive,adj.,4,2
ago,adv.,1,2
agony,n.,5,2
agree(ment),v./(n.),1,2
agreeable,adj.,4,2
agricultural,adj.,5,2
agriculture,n.,3,2
ahead,adv.,1,2
AI/artificial intelligence,n.,5,2
aid,n./v.,2,2
AIDS/acquired immune deficiency syndrome,n.,4,2
aim,n./v.,2,2
air,n.,1,2
air-conditioner,n.,3,2
aircraft,n.,2,2
airline,n.,2,2
airmail,n.,1,2
airplane/plane,n.,1,2
airport,n.,1,2
airtight,adj.,5,2
airway,n.,5,2
aisle,n.,5,2
alarm,n./v.,2,2
album,n.,2,2
alcohol,n.,4,2
alcoholic,adj./n.,6,2
alert,adj./v./n.,4,2
algebra,n.,5,2
alien,adj./n.,5,2
alienate,v.,6,2
alike,adj./adv.,2,2
alive,adj.,2,2
all,adj./adv./pron./n.,1,2
allergic,adj.,5,3
allergy,n.,5,3
alley,n.,3,3
alliance,n.,6,3
alligator,n.,5,3
allocate,v.,6,3
allow,v.,1,3
allowance/pocket money,n.,4,3
ally,n./v.,5,3
almond,n.,2,3
almost,adv.,1,3
alone,adj./adv.,1,3
along,prep./adv.,1,3
alongside,adv./prep.,6,3
aloud,adv.,2,3
alphabet,n.,2,3
already,adv.,1,3
also,adv.,1,3
alter,v.,5,3
alternate,v./adj./n.,5,3
alternative,adj./n.,6,3
although,conj.,2,3
altitude,n.,5,3
altogether,adv.,2,3
aluminum,n.,4,3
always,adv.,1,3
am,v.,1,3
a.m./am/A.M./AM,adv.,4,3
amateur,n./adj.,4,3
amaze(ment),v./(n.),3,3
ambassador,n.,3,3
ambiguity,n.,6,3
ambiguous,adj.,6,3
ambition,n.,3,3
ambitious,adj.,4,3
ambulance,n.,6,3
ambush,n./v.,6,3
amiable,adj.,6,3
amid/amidst,prep.,4,3
among,prep.,1,3
amount,n./v.,2,3
ample,adj.,5,3
amplify,v.,6,3
amuse(ment),v./(n.),4,3
analects,n.,6,3
analogy,n.,6,3
analysis,n.,4,3
analyst,n.,6,3
analytical,adj.,6,3
analyze,v.,4,3
ancestor,n.,4,3
anchor,n./v.,5,3
ancient,adj.,2,3
and,conj.,1,3
anecdote,n.,6,3
angel,n.,3,3
anger,n.,1,3
angle,n.,3,3
angry,adj.,1,3
animal,n.,1,3
animate,adj./v.,6,3
ankle,n.,2,3
anniversary,n.,4,3
announce(ment),v./(n.),3,3
annoy,v.,4,3
annoyance,n.,6,3
annual,adj.,4,3
anonymous,adj.,6,3
another,adj./pron.,1,3
answer,n./v.,1,3
ant,n.,1,3
Antarctic/antarctic,adj./n.,6,3
antenna,n.,6,3
anthem,n.,5,3
antibiotic,n./adj.,6,3
antibody,n.,6,3
anticipate,v.,6,3
anticipation,n.,6,3
antique,n./adj.,5,3
antonym,n.,6,3
anxiety,n.,4,3
anxious,adj.,4,3
any,adj./pron./adv.,1,3
anybody/anyone,pron.,2,3
anyhow,adv.,2,3
anything,pron.,1,3
anytime,adv.,2,4
anyway,adv.,2,4
anywhere/anyplace,adv.,2,4
apart,adv.,3,4
apartment,n.,2,4
ape,n./v.,1,4
apologize,v.,4,4
apology,n.,4,4
apparent,adj.,3,4
appeal,n./v.,3,4
appear,v.,1,4
appearance,n.,2,4
appetite,n.,2,4
applaud,v.,5,4
applause,n.,5,4
apple,n.,1,4
appliance,n.,4,4
applicable,adj.,6,4
applicant,n.,4,4
application,n.,4,4
apply,v.,2,4
appoint(ment) (1),v./(n.),4,4
appoint(ment) (2),v./(n.),4,4
appreciate,v.,3,4
appreciation,n.,4,4
apprentice,n./v.,6,4
approach,v./n.,3,4
appropriate,adj.,4,4
approval,n.,4,4
approve,v.,3,4
approximate,adj./v.,6,4
April/Apr.,n.,1,4
apron,n.,2,4
apt,adj.,5,4
aptitude,n.,6,4
aquarium,n.,3,4
arch,n./v.,4,4
architect,n.,5,4
architecture,n.,5,4
Arctic/arctic,adj./n.,6,4
are,v.,1,4
area,n.,1,4
arena,n.,5,4
argue(argument),v./(n.),2,4
arise,v.,4,4
arithmetic,n./adj.,3,4
arm (1),n.,1,4
arm (2),v.,2,4
armchair,n.,2,4
armor,n./v.,5,4
arms,n.,4,4
army,n.,1,4
around,adv./prep.,1,4
arouse,v.,4,4
arrange(ment),v./(n.),2,4
arrest,v./n.,2,4
arrival,n.,3,4
arrive,v.,2,4
arrogant,adj.,6,4
arrow,n.,2,4
art,n.,1,4
artery,n.,6,4
article (1),n.,4,4
article (2)/essay,n.,2,4
articulate,adj./v.,6,4
artifact,n.,6,4
artificial,adj.,4,4
artist,n.,2,4
artistic,adj.,4,4
as,adv./conj./prep./pron.,1,4
ascend,v.,5,4
ash,n.,3,4
ashamed,adj.,4,4
aside,adv.,3,4
ask,v.,1,4
asleep,adj.,2,4
aspect,n.,4,4
aspirin,n.,4,4
ass,n.,5,4
assassinate,v.,6,4
assault,n./v.,5,4
assemble,v.,4,4
assembly,n.,4,4
assert,v.,6,4
assess(ment),v./(n.),6,4
asset,n.,5,4
assign(ment),v./(n.),4,5
assist,v.,3,5
assistance,n.,4,5
assistant,n.,2,5
associate,v./n./adj.,4,5
association,n.,4,5
assume,v.,4,5
assumption,n.,6,5
assurance,n.,4,5
assure,v.,4,5
asthma,n.,6,5
astonish(ment),v./(n.),5,5
astray,adv./adj.,5,5
astronaut,n.,5,5
astronomer,n.,5,5
astronomy,n.,5,5
asylum,n.,6,5
at,prep.,1,5
athlete,n.,3,5
athletic,adj.,4,5
ATM/automatic teller machine,n.,4,5
atmosphere,n.,4,5
atom,n.,4,5
atomic,adj.,4,5
attach(ment),v./(n.),4,5
attack,v./n.,2,5
attain(ment),v./(n.),6,5
attempt,v./n.,3,5
attend,v.,2,5
attendance,n.,5,5
attendant,n./adj.,6,5
attention,n.,2,5
attic,n.,6,5
attitude,n.,3,5
attract,v.,3,5
attraction,n.,4,5
attractive,adj.,3,5
auction,n./v.,6,5
audience,n.,3,5
audio,adj.,4,5
auditorium,n.,5,5
August/Aug.,n.,1,5
aunt/auntie/aunty,n.,1,5
authentic,adj.,6,5
author,n./v.,3,5
authority,n.,4,5
authorize,v.,6,5
autobiography,n.,4,5
autograph/signature,n./v.,6,5
automatic,adj.,3,5
automobile/auto,n.,3,5
autonomy,n.,6,5
autumn/fall,n.,1,5
auxiliary,n.,5,5
available,adj.,3,5
avenue,n.,3,5
average,adj./n./v.,3,5
aviation,n.,6,5
avoid,v.,2,5
await,v.,4,5
awake,adj./v.,3,5
awaken,v.,3,5
award,n./v.,3,5
aware,adj.,3,5
away,adv.,1,5
awe,n./v.,5,5
awesome,adj.,6,5
awful,adj.,3,5
awhile,adv.,5,5
awkward,adj.,4,5
ax/axe,n./v.,3,5
baby,n.,1,5
baby-sit,v.,2,5
